序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,证券类型,低位 2026.04.30,个股题材,申万行业分类,主力净额合计 2026.04.28 - 2026.04.30,东财行业总分类,概念,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30,流通市值(元) 2026.04.30
39,603816,顾家家居,SH,29.04,-1.26,A股,符合,电商概念、关税、电子商务概念、大消费、内循环、参股恒大、智能家居、家具、机器人概念、育儿概念,轻工制造-家居用品-成品家居,5018.97万,轻工制造-家居用品-成品家居,中盘价值、中盘股、融资融券、昨日高振幅、高股息精选、上证380、中证500、沪股通、标准普尔、价值股、电商概念、跨境电商、智能家居、富时罗素、MSCI中国,-0.370,30.88,28.57,1.38,1.47,1122.04万,3.27亿,12.02,2.1521,238.55亿,235.85亿
40,000753,漳州发展,SZ,6.67,2.14,A股,符合,跨境电商、创投、海西自贸、PPP、低空经济、数字经济、海峡两岸、区域经济、充电、光伏、华为概念,综合-综合Ⅱ-综合Ⅲ,4920.07万,综合-综合Ⅱ-综合Ⅲ,海工装备、PPP模式、乡村振兴、数字经济、昨日高振幅、新能源车、垃圾分类、水利建设、节能环保、创投、跨境电商、污水处理、央国企改革、DeepSeek概念、海底电缆、新型城镇化、智慧政务、内贸流通、低空经济、充电桩、深股通、装配建筑、绿色电力、智慧城市、光伏概念、海峡两岸、风能、地下管网,0.140,6.88,6.44,4.04,1.29,4010.40万,2.66亿,84.18,2.4041,66.13亿,66.13亿
41,300594,ST朗进,SZ,18.30,-20.02,A股,符合,国产芯片、飞行汽车(eVTOL)、低空经济、烟草、IGBT概念、液冷概念、算力概念、新能源车、磁悬浮概念、数据中心、液冷服务器、国产软件、一带一路、空气能热泵、国产操作系统、农机概念、交运设备、汽车热管理、雅下水电、储能,机械设备-轨交设备Ⅱ-轨交设备Ⅲ,4917.93万,机械设备-轨交设备Ⅱ-轨交设备Ⅲ,国产芯片、数据中心液冷、专精特新、烟草、IGBT概念、新能源车、磁悬浮概念、储能概念、农机、交运设备、飞行汽车(eVTOL)、低空经济、液冷概念、充电桩、破发股、数据中心、铁路基建、光伏概念、换电概念、一带一路、空气能热泵、比亚迪概念、创业板综、高铁、汽车热管理、风能,-4.580,18.50,18.30,15.95,2.54,1451.24万,2.66亿,-34.82,2.2015,16.81亿,16.65亿
42,002923,润都股份,SZ,13.22,-0.45,A股,符合,超级真菌、广东自贸、流感、烟草、工业大麻、电子烟、区域经济、创新药、幽门螺杆菌概念,医药生物-化学制药-化学制剂,4860.89万,医药生物-化学制药-化学制剂,猴痘概念、仿制药一致性评价、合成生物、流感、医疗器械概念、医药电商、工业大麻、电子烟、创新药、青蒿素、幽门螺杆菌概念、肝炎概念,-0.060,13.45,13.13,5.23,1.00,1349.62万,1.79亿,70.93,4.2005,44.27亿,34.12亿
43,600827,百联股份,SH,8.27,0.36,A股,符合,数智、商业百货、生意社、电商概念、电子商务概念、内循环、退税商店、免税店、新零售、免税概念、无人零售、谷子经济、REITs概念,商贸零售-一般零售-多业态零售,4777.80万,商贸零售-一般零售-多业态零售,首发经济、海南自贸、长期破净、华为概念、创投、退税商店、央国企改革、免税店、富时罗素、阿里概念、破增发价股、AB股、内贸流通、融资融券、AI眼镜、谷子店、2025年报预减、沪股通、参股券商、小盘价值、小盘股、电商概念、新零售、谷子经济、长江三角、参股银行、沪企改革、REITs概念,0.030,8.39,8.25,1.52,2.29,2440.66万,2.03亿,4.66,0.7170,147.55亿,132.69亿
44,002691,*ST冀凯,SZ,5.46,-5.04,A股,符合,-,机械设备-专用设备-能源及重型设备,4768.19万,机械设备-专用设备-能源及重型设备,煤炭概念、京津冀一体化、中俄贸易概念、3D打印、机器人概念,-0.290,5.63,5.46,4.52,1.20,1518.10万,8316.21万,-17.94,2.2800,18.56亿,18.34亿
45,000048,京基智农,SZ,14.74,0.14,A股,符合,广东自贸、乡村振兴、区域经济、猪肉概念、深圳特区、机器人概念,农林牧渔-养殖业-生猪养殖,4687.78万,农林牧渔-养殖业-生猪养殖,粤港澳大湾区、融资融券、乡村振兴、人形机器人、深股通、2025年报预减、鸡肉概念、猪肉概念、谷子经济、深圳特区、机器人概念,0.020,14.94,14.31,2.19,0.90,1160.58万,1.71亿,-8.46,2.0812,78.16亿,78.09亿
46,600326,西藏天路,SH,9.37,0.43,A股,符合,民爆概念、供给侧改革、西部大开发、内循环、西藏概念、海绵城市、区域经济、雅下水电、水电、墨脱水电站、反内卷概念、新藏铁路,建筑材料-水泥-水泥制造,4518.92万,建筑材料-水泥-水泥制造,金属铜、融资融券、西部大开发、水利建设、参股新三板、沪股通、雅下水电概念、绿色电力、标准普尔、反内卷概念、小盘股、水泥概念、一带一路、央国企改革、海绵城市、小金属概念、富时罗素、小盘成长、参股银行,0.040,9.42,9.28,1.63,0.70,2224.32万,2.08亿,-85.91,3.2580,127.66亿,127.66亿
47,688622,*ST禾信,SH,74.97,-7.17,A股,符合,国产替代、深海经济、医疗科技、量子计算、AI医疗、上海自贸,机械设备-通用设备-仪器仪表,4507.80万,机械设备-通用设备-仪器仪表,粤港澳大湾区、专精特新、医疗器械概念、融资融券、科创板做市股、食品安全、PM2.5、沪股通、节能环保、碳中和、量子科技,-5.790,80.00,70.00,4.71,1.43,331.91万,2.49亿,-172.03,17.8492,52.83亿,52.83亿
48,300226,上海钢联,SZ,24.81,1.02,A股,符合,区块链、ai应用、北交所概念、算力概念、数智、华为云、AI智能体、生意社、数据要素概念、电商概念、试验区落地、电子商务概念、数据确权、manus、AI应用、DeepSeek概念、人工智能、灵光、钢材、rwa、大数据、RDA概念股、数据要素、上海自贸,计算机-软件开发-垂直应用软件,4251.91万,计算机-软件开发-垂直应用软件,区块链、多模态AI、融资融券、鸿蒙概念、北交所概念、深股通、AIGC概念、工业互联、ChatGPT概念、AI智能体、互联网服务、电商概念、互联网金融、AI应用、百度概念、DeepSeek概念、创业板综、人工智能、富时罗素、AI语料、大数据、数据要素,0.250,25.30,24.38,2.96,1.08,907.57万,2.25亿,37.28,3.5273,79.07亿,76.03亿
49,300245,ST天玑,SZ,8.22,-15.43,A股,符合,区块链、数字经济、ai应用、算力概念、一体机、DeepSeek一体机、ChatGPT概念、智慧城市、华为概念、AI芯片、数据中心、ai算力、国产软件、信创、人形机器人、算力租赁、财税数字化、grok、国产操作系统、阿里巴巴概念、机器人概念、大数据、云计算,计算机-IT服务Ⅱ-IT服务Ⅲ,4202.80万,计算机-IT服务Ⅱ-IT服务Ⅲ,区块链、东数西算、5G概念、数字经济、华为概念、信创、互联网金融、华为昇腾、国产操作系统、人脸识别、阿里概念、机器人概念、华为鲲鹏、云计算、破增发价股、数据要素、智慧政务、融资融券、深股通、ChatGPT概念、智慧城市、数据中心、互联网服务、国产软件、财税数字化、创业板综、长江三角、大数据,-1.500,8.82,7.81,20.74,5.11,6313.08万,5.16亿,-35.22,2.0774,25.08亿,25.02亿
50,300633,开立医疗,SZ,24.35,0.21,A股,符合,广东自贸、多模态AI、家庭医生、ai应用、海南自贸、医药设备、区域经济、深圳特区、AI医疗、AI智能体、华为概念、国产替代、关税、流感、内循环、医疗科技、医疗健康、人工智能、医疗美容、医疗器械、蚂蚁阿福,医药生物-医疗器械-医疗设备,4131.94万,医药生物-医疗器械-医疗设备,小盘股、医疗器械概念、融资融券、深股通、中俄贸易概念、创业板综、富时罗素、智能医疗、宠物经济、深圳特区、深成500、破增发价股,0.050,24.64,24.07,2.51,0.89,673.00万,1.64亿,-226.90,3.2287,105.37亿,65.26亿
51,603815,交建股份,SH,7.28,3.56,A股,符合,PPP、一带一路、亚冬会、地下管网、工程建设、新型城镇化,建筑装饰-基础建设-基建市政工程,4126.29万,建筑装饰-基础建设-基建市政工程,PPP模式、乡村振兴、一带一路、水利建设、沪股通、地下管网、工程建设、新型城镇化,0.250,7.42,7.02,5.25,0.74,3248.43万,2.36亿,19.64,2.8616,45.06亿,45.06亿
52,603363,傲农生物,SH,3.39,-0.88,A股,符合,猪肉概念,农林牧渔-饲料-畜禽饲料,3803.33万,农林牧渔-饲料-畜禽饲料,福建自贸区、破发股、2025年报预减、沪股通、标准普尔、预制菜概念、小盘股、海峡两岸、股权激励、富时罗素、小盘成长、猪肉概念、冷链物流,-0.030,3.44,3.35,2.21,0.50,4742.44万,1.61亿,-165.49,2.8485,88.24亿,72.65亿
53,002175,*ST东智,SZ,2.75,-4.84,A股,符合,-,机械设备-通用设备-仪器仪表,3791.28万,机械设备-通用设备-仪器仪表,国产芯片、西部大开发、深股通、新能源车、高端装备、工业互联、低价股、物联网、智能物流,-0.140,2.75,2.75,0.48,0.08,610.95万,1680.11万,-416.11,4.5368,35.11亿,35.11亿
54,600516,方大炭素,SH,5.66,2.17,A股,符合,锂动力电池、石墨电极、碳基材料、口罩、钍基熔盐堆、锂电池、创投、关税、供给侧改革、核能核电、新材料、可控核聚变、石墨烯、人工智能,钢铁-冶钢原料-冶钢辅料,3638.31万,钢铁-冶钢原料-冶钢辅料,钠离子电池、融资融券、石墨电极、西部大开发、碳基材料、2025年报预减、中证500、工业互联、沪股通、标准普尔、创投、小盘股、电池技术、固态电池、新材料、核能核电、可控核聚变、锂电池概念、微利股、石墨烯、碳纤维、人工智能、富时罗素、参股银行,0.120,5.70,5.49,2.20,1.37,8837.74万,4.98亿,643.04,1.3949,227.87亿,227.87亿
55,603728,鸣志电器,SH,59.35,1.54,A股,符合,5G概念、外骨骼机器人、宇树机器人、灵巧手、AI智能体、华为概念、越疆机器人、DeepSeek概念、无人驾驶、人工智能、惯性测量单元IMU、齿轮、机器人概念、华为轴承、设备更新、工业机器人、华为机器人、mcu芯片、LED、ChatGPT概念、小米机器人、英伟达概念、智元机器人、机器人代工、华为鸿蒙、人形机器人、谷歌概念、智能驾驶、机器人执行器、减速器,电力设备-电机Ⅱ-电机Ⅲ,3622.49万,电力设备-电机Ⅱ-电机Ⅲ,激光雷达、安防概念、LED概念、专精特新、中盘股、5G概念、融资融券、灵巧手、智能座舱、新能源车、中盘成长、上证380、中证500、参股新三板、沪股通、标准普尔、华为概念、通信技术、人形机器人、无人驾驶、减速器、机器人执行器、机器人概念,0.900,59.92,58.01,1.46,1.24,613.44万,3.64亿,449.82,8.3606,248.61亿,248.61亿
56,600198,大唐电信,SH,8.40,-0.83,A股,符合,数据安全、军工信息化、国产芯片、北斗导航、5G概念、移动支付、车联网(车路云)、IPv6、商业航天、小米概念、智能穿戴、中芯概念、卫星导航、一带一路、智能驾驶、并购重组、物联网、通信安全、卫星互联网、云计算,通信-通信设备-通信终端及配件,3600.00万,通信-通信设备-通信终端及配件,国产芯片、5G概念、车联网(车路云)、IPv6、通感一体化、网络游戏、小米概念、通信技术、智能穿戴、创投、核能核电、中芯概念、央国企改革、MCU芯片、物联网、量子科技、数据安全、智慧政务、移动支付、低空经济、无人机、商业航天、沪股通、半导体概念、智慧城市、网络安全、小盘价值、小盘股、卫星导航、一带一路、汽车芯片,-0.070,8.48,8.21,2.56,1.27,3329.48万,2.78亿,-41.84,56.8998,109.50亿,109.36亿
57,688015,交控科技,SH,21.66,2.56,A股,符合,区块链、低空经济、车联网(车路云)、科创板成分股、交运设备,机械设备-轨交设备Ⅱ-轨交设备Ⅲ,3586.59万,机械设备-轨交设备Ⅱ-轨交设备Ⅲ,区块链、低空经济、融资融券、车联网(车路云)、职业教育、空管系统、元宇宙概念、无人机、铁路基建、京津冀一体化、AI应用、DeepSeek概念、人工智能、交运设备、股权激励、2025年报预增、破增发价股,0.540,22.01,21.09,1.65,1.19,310.61万,6663.63万,62.58,1.5220,40.87亿,40.87亿
58,300591,万里马,SZ,7.92,3.13,A股,符合,军工、电商概念、网红直播、纺织服装、广东自贸、腾讯概念、电子商务概念、大消费、军工装备、区域经济、服饰,纺织服饰-服装家纺-鞋帽及其他,3530.99万,纺织服饰-服装家纺-鞋帽及其他,军工、电商概念、跨境电商、三胎概念、粤港澳大湾区、腾讯概念、户外露营、创业板综、人工智能、网红经济、军民融合,0.240,7.98,7.66,8.10,0.92,2838.16万,2.23亿,285.13,18.7928,32.13亿,27.76亿
59,003012,东鹏控股,SZ,5.88,-1.51,A股,符合,广东自贸、大消费、虚拟数字人、石墨烯、新零售、亚冬会、广交会、区域经济、家具、无人零售、小红书概念,轻工制造-家居用品-瓷砖地板,3527.64万,轻工制造-家居用品-瓷砖地板,粤港澳大湾区、虚拟数字人、深股通、智能家居、石墨烯、新零售、高股息精选、破发股、小红书概念,-0.090,5.96,5.87,1.08,1.25,1223.10万,7214.38万,-34.03,0.8995,68.03亿,66.71亿
60,002555,三七互娱,SZ,21.43,-2.50,A股,符合,抖音豆包、手游、粤港澳大湾区、多模态AI、ai应用、元宇宙概念、通义千问、短剧互动游戏、AI智能体、华为概念、创投、腾讯概念、manus、AI应用、在线教育、DeepSeek概念、阶跃星辰、人工智能、游戏、云游戏、脑机接口、Sora概念、网红直播、智谱AI概念、智慧教育、ChatGPT概念、文生视频、英伟达概念、VR&AR、小程序游戏、谷子经济、智谱AI、米哈游、腾讯游戏,传媒-游戏Ⅱ-游戏Ⅲ,3498.07万,传媒-游戏Ⅱ-游戏Ⅲ,中盘股、多模态AI、元宇宙概念、参股新三板、网络游戏、标准普尔、深成500、AI智能体、Kimi概念、华为概念、创投、AI游戏、AI应用、在线教育、人工智能、手机游戏、富时罗素、网红经济、MSCI中国、脑机接口、云游戏、Sora概念、破增发价股、中盘价值、融资融券、人脑工程、智谱AI概念、深股通、虚拟现实、高股息精选、AIGC概念、ChatGPT概念、养老概念、电子竞技、虚拟数字人、NFT概念、文娱消费,-0.550,21.87,21.34,2.87,1.00,4555.91万,9.79亿,13.57,3.2704,474.08亿,340.17亿
